SR401|4829.00|4840.00|4790.00|43046|09:41:03|4828.00|232|4829.00|232
SR401|4829.00|4840.00|4790.00|43054|09:41:03|4828.00|135|4829.00|135
SR401|4829.00|4840.00|4790.00|43054|09:41:05|4828.00|232|4829.00|232
SR401|4829.00|4840.00|4790.00|43054|09:41:05|4828.00|232|4829.00|232
SR401|4829.00|4840.00|4790.00|43054|09:41:06|4828.00|231|4829.00|231
SR401|4829.00|4840.00|4790.00|43054|09:41:08|4828.00|133|4829.00|133
SR401|4829.00|4840.00|4790.00|43054|09:41:09|4828.00|233|4829.00|233
SR401|4829.00|4840.00|4790.00|43074|09:41:09|4828.00|123|4829.00|123
SR401|4829.00|4840.00|4790.00|43074|09:41:11|4828.00|123|4829.00|123
SR401|4829.00|4840.00|4790.00|43074|09:41:12|4828.00|234|4829.00|234
SR401|4829.00|4840.00|4790.00|43118|09:41:13|4828.00|215|4829.00|215
SR401|4829.00|4840.00|4790.00|43118|09:41:13|4828.00|124|4829.00|124
SR401|4829.00|4840.00|4790.00|43118|09:41:14|4828.00|124|4829.00|124
SR401|4829.00|4840.00|4790.00|43118|09:41:15|4828.00|131|4829.00|131
SR401|4829.00|4840.00|4790.00|43118|09:41:15|4828.00|217|4829.00|217
SR401|4828.00|4840.00|4790.00|43122|09:41:16|4828.00|215|4829.00|215
SR401|4828.00|4840.00|4790.00|43122|09:41:17|4828.00|216|4829.00|216
SR401|4829.00|4840.00|4790.00|43128|09:41:17|4828.00|127|4829.00|127
SR401|4829.00|4840.00|4790.00|43128|09:41:19|4828.00|216|4829.00|216
SR401|4829.00|4840.00|4790.00|43140|09:41:21|4828.00|126|4829.00|126
SR401|4829.00|4840.00|4790.00|43144|09:41:22|4828.00|124|4829.00|124
SR401|4829.00|4840.00|4790.00|43144|09:41:23|4828.00|216|4829.00|216
SR401|4829.00|4840.00|4790.00|43144|09:41:27|4828.00|123|4829.00|123
SR401|4829.00|4840.00|4790.00|43148|09:41:30|4828.00|215|4829.00|215
SR401|4829.00|4840.00|4790.00|43148|09:41:35|4828.00|119|4829.00|119
SR401|4829.00|4840.00|4790.00|43148|09:41:35|4828.00|215|4829.00|215
SR401|4829.00|4840.00|4790.00|43148|09:41:36|4828.00|215|4829.00|215
SR401|4829.00|4840.00|4790.00|43148|09:41:37|4828.00|117|4829.00|117
SR401|4829.00|4840.00|4790.00|43152|09:41:38|4828.00|117|4829.00|115
SR401|4829.00|4840.00|4790.00|43208|09:41:38|4828.00|89|4829.00|89
SR401|4829.00|4840.00|4790.00|43230|09:41:40|4828.00|74|4829.00|74
SR401|4829.00|4840.00|4790.00|43234|09:41:41|4828.00|72|4829.00|72
SR401|4829.00|4840.00|4790.00|43234|09:41:42|4828.00|223|4829.00|223
